aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Increased, hippocampal hyperdepolarization",1362,KE,Increase,hippocampal hyperdepolarization,,,,,Increase,Y
"Increased, hippocampal hyperdepolarization",1362,AO,Increase,hippocampal hyperdepolarization,,,,,Increase,Y
"Increased, epilepsy",1363,AO,Increase,epilepsy,,,,,Increase,Y
"Increase, Reactive oxygen species",1364,KE,Increase,Reactive oxygen species,,,,,Increase,Y
"Increase, Apoptosis",1365,KE,Increase,Apoptosis,,,,,Increase,Y
"Decrease, Oogenesis",1366,KE,Decrease,Oogenesis,,,,,Decrease,Y
"Inhibit, gastric ulcer formation",1367,AO,Inhibition,gastric ulcer formation,,,,,Inhibition,Y
"Inhibition, PTGS-1 (Prostaglandin-endoperoxide synthase 1)",1368,KE,Inhibition,PTGS-1,Prostaglandin-endoperoxide synthase 1,,,PTGS,Inhibition,Y
"Activation, PTGS-1 (Prostaglandin-endoperoxide synthase 1)",1369,KE,Activation,PTGS-1,Prostaglandin-endoperoxide synthase 1,,,PTGS,Activation,Y
"Activation, PTGS-2 (Prostaglandin-endoperoxide synthase 2)",1370,KE,Activation,PTGS-2,Prostaglandin-endoperoxide synthase 2,,,PTGS,Activation,Y
"Inhibition, PTGS-2 (Prostaglandin-endoperoxide synthase 2)",1371,KE,Inhibition,PTGS-2,Prostaglandin-endoperoxide synthase 2,,,PTGS,Inhibition,Y
"Increase, bicarbonate ",1372,KE,Increase,bicarbonate ,,,,,Increase,Y
"Increase, mucous",1373,KE,Increase,mucous,,,,,Increase,Y
"Decrease, surfactant",1382,KE,Decrease,surfactant,,,,,Decrease,Y
"Activate, phospholipase",1383,KE,Activation,phospholipase,,,,,Activation,Y
"Increase, ammonium (NH4+)",1384,KE,Increase,ammonium,NH4+,,,NH4+,Increase,Y
"Activated, gastric ulcer formation",1385,AO,Activation,gastric ulcer formation,,,,,Activation,Y
"CYP7B activity, inhibition",1386,MIE,Inhibition,CYP7B activity,,,,,Inhibition,Y
"7α-hydroxypregnenolone synthesis in the brain, decreased",1387,KE,Decrease,7α-hydroxypregnenolone synthesis,brain,,,,Decrease,Y
"Dopamine release in the brain, decreased",1388,KE,Decrease,Dopamine release,brain,,,,Decrease,Y
"Locomotor activity, decreased",1389,KE,Decrease,Locomotor activity,,,,,Decrease,Y
"Sexual behavior, decreased",1390,KE,Decrease,Sexual behavior,,,,,Decrease,Y
Activation of Cyp2E1,1391,MIE,Activation,Cyp2E1,,,,Cyp2E1,Activation,Y
Oxidative Stress ,1392,KE,,Oxidative Stress ,,,,,,Y
Hepatocytotoxicity,1393,KE,,Hepatocytotoxicity,,,,,Toxicity,Y
"Induction, persistant proliferation/sustained proliferation",1394,KE,Induction,persistant proliferation,sustained proliferation,,,,Induction,Y
Liver Cancer,1395,AO,,Liver Cancer,,,,,Cancer,Y
"Increased, glucocorticoid receptor activity",1396,MIE,Increase,glucocorticoid receptor activity,,,,GR,Increase,Y
"Increased, serotonin transporter activity",1397,MIE,Increase,serotonin transporter activity,,,,,Increase,Y
"Increased, serotonin transporter activity",1397,KE,Increase,serotonin transporter activity,,,,,Increase,Y
"Increased, intracellular serotonin",1398,KE,Increase,intracellular serotonin,,,,,Increase,Y
"Increased, packaged serotonin",1399,KE,Increase,packaged serotonin,,,,,Increase,Y
"Increased, synaptic release",1400,KE,Increase,synaptic release,,,,,Increase,Y
"Decreased, 5-HT3",1401,KE,Decrease,5-HT3,,,,5-HT3,Decrease,Y
"Reduced, PTGS1 function",1402,MIE,Reduction,PTGS1 function,,,,PTGS,Reduction,Y
"Reduced, platelet aggregation",1403,KE,Reduction,platelet aggregation,,,,,Reduction,Y
"Decreased, mucosal blood flow",1404,KE,Decrease,mucosal blood flow,,,,,Decrease,Y
"Reduced, mucosal defense",1405,KE,Reduction,mucosal defense,,,,,Reduction,Y
"Decreased, mucous",1406,KE,Decrease,mucous,,,,,Decrease,Y
"Decreased, bicarbonate",1407,KE,Decrease,bicarbonate,,,,,Decrease,Y
"Reduced, PTGS2 function",1408,MIE,Reduction,PTGS2 function,,,,PTGS,Reduction,Y
"Decreased, angiogenesis",1409,KE,Decrease,angiogenesis,,,,,Decrease,Y
"Increased, leukocyte adherence",1410,KE,Increase,leukocyte adherence,,,,,Increase,Y
"Increased, leukocyte activation",1411,KE,Increase,leukocyte activation,,,,,Increase,Y
Helicobacter pylori infection,1412,MIE,Infection,Helicobacter pylori,,,,,,Y
"Reduced, presynaptic neuron 2 activity",1413,MIE,Reduction,presynaptic neuron 2 activity,,,,,Reduction,Y
"Decreased, GABA",1414,KE,Decrease,GABA,,,,GABA,Decrease,Y
"Reduced, GABA-A receptor activation",1415,KE,Reduction,GABA-A receptor,activation,,,GABA,Reduction,Y
"Decreased, intracellular chloride",1416,KE,Decrease,intracellular chloride,,,,,Decrease,Y
NFE2/Nrf2 repression,1417,MIE,repression,NFE2,Nrf2,,,NFE2/Nrf2,Repression,Y
"Increased, steatosis",1418,AO,Increase,steatosis,,,,,Increase,Y
"Reduced, FXR activity",1419,KE,Reduction,FXR activity,,,,FXR,Reduction,Y
"Reduced, SHP activity",1420,KE,Reduction,SHP activity,,,,SHP,Reduction,Y
"Activated, LXR",1421,KE,Activation,LXR,,,,LXR,Activation,Y
"Reduced, PPARalpha",1422,KE,Reduction,PPARalpha,,,,PPAR ,Reduction,Y
"Reduced, HSD17B4 activity",1423,KE,Reduction,HSD17B4 activity,,,,HSD17B4,Reduction,Y
"Reduced, fatty acid beta oxidation",1424,KE,Reduction,fatty acid beta oxidation,,,,,Reduction,Y
Mu Opioid Receptor Agonism,1425,MIE,Agonism,Mu Opioid Receptor,,,,,Agonism,Y
Release of G Proteins,1426,KE,Release,G Proteins,,,,,Release,Y
Opening of G protein gated inward rectifying K channels,1427,KE,Opening,G protein gated inward rectifying K channels,,,,,Opening,Y
Opening of G protein gated inward rectifying K channels,1427,KE,Opening,G protein gated inward rectifying K channels,,,,,Opening,Y
Analgesia,1428,AO,,Analgesia,,,,,,Y
Inhibition of N-type Ca ion channels,1429,KE,Inhibition,N-type Ca ion channels,,,,Ca 2+,Inhibition,Y
Inhibition of neurotransmitter vesicle release,1430,KE,Inhibition,neurotransmitter vesicle release,,,,,Inhibition,Y
Serotonin 1A Receptor Agonism,1431,MIE,,Agonism,Serotonin 1A Receptor,,,,Agonism,Y
Serotonin 1A Receptor Agonism,1431,MIE,,Agonism,Serotonin 1A Receptor,,,,Agonism,Y
Anti-depressant Activity,1432,AO,Anti-depressant,Activity,Anti-depressant,,,,Anti-depressant,Y
"Increased CGRP, neuronal release of CGRP",1433,KE,Increase,CGRP,neuronal release,,,CGRP,Increase,Y
Irritation of nasal mucosa inducing sneeze reflex,1434,AO,,Irritation,nasal mucosa inducing sneeze reflex,,,,,Y
Increased neurokinin A (NKA) by neuronal cells,1435,KE,Increase,neurokinin A,,neuronal cells,,NKA,Increase,Y
Sensing of the stressor by pulmonary cells,1437,MIE,Sensing,pulmonary cells,stressor,,,,,Y
"Increased production of pulmonary, pro-inflammatory cytokines",1438,KE,Increase,pulmonary,pro-inflammatory cytokines,,,,Increase,Y
Increased production of pulmonary SAA,1439,KE,Increase,pulmonary SAA,production,,,,Increase,Y
Formation of HDL-SAA,1440,KE,Formation,HDL-SAA,,,,HDL-SAA,Formation,Y
Increased systemic total cholesterol pool,1441,KE,Increase,cholesterol pool,,,,,Increase,Y
Foam cell formation,1442,KE,Formation,Foam cell,,,,,Formation,Y
Plaque progression in arteries,1443,AO,progression,Plaque,arteries,,,,progression,Y
"Increase, Follicular atresia",1444,KE,Increase,Follicular atresia,,,,,Increase,Y
"Increase, Lipid peroxidation",1445,KE,Increase,Lipid peroxidation,,,,,Increase,Y
"Increase, Uncoupling of oxidative phosphorylation",1446,MIE,Increase,Uncoupling,oxidative phosphorylation,,,,Increase,Y
"Increase, Uncoupling of oxidative phosphorylation",1446,KE,Increase,Uncoupling,oxidative phosphorylation,,,,Increase,Y
obesity,1447,AO,,obesity,,,,,,Y
activation of CCAAT/enhancer-binding protein alpha,1448,KE,activation,CCAAT,enhancer-binding protein alpha,,,,Activation,Y
increased adipogenesis,1449,KE,increase,adipogenesis,,,,,Increase,Y
decreased dopamine,1450,KE,decrease,dopamine,,,,,Decrease,Y
decreased reward,1451,KE,decrease,reward,,,,,Decrease,Y
decreased DNA methylation of tyrosine hydroxylase,1452,KE,decrease,DNA methylation,tyrosine hydroxylase,,,DNA,Decrease,Y
chronic high fat diet,1454,MIE,,chronicle,high fat diet,,,,,Y
"Increase, Differentiation of fibroblasts",1456,KE,Increase,Differentiation of fibroblasts,,,,,Increase,Y
"Induction, Epithelial Mesenchymal Transition",1457,KE,Induction,Epithelial Mesenchymal Transition,,,,,Induction,Y
Pulmonary fibrosis,1458,AO,,fibrosis,Pulmonary,,,,,Y
DNA double-strand break ,1461,KE,,break ,DNA double-strand,,,DNA,,Y
Thiol group of chemicals interact with sulfuhydryl groups of proteins to form thiol adducts,1462,MIE,Interaction,Thiol group of chemicals,sulfuhydryl groups of proteins,thiol adducts,,,Interaction,Y
Inhibition of lysyl oxidase,1463,KE,Inhibition,lysyl oxidase,,,,,Inhibition,Y
Reduction of collagen crosslinking,1464,KE,Reduction,collagen crosslinking,,,,,Reduction,Y
Weak collagen matrix,1465,KE,Weak,weakening,collagen matrix,,,,Weak,Y
Notochord distortion or malformations,1466,KE,distortion,malformation,Notochord,,,,Distortion,Y
"Growth, reduction",1467,AO,reduction,Growth,,,,,Reduction,Y
"Activation, Latent Transforming Growth Factor Beta 1",1468,MIE,Activation,Latent Transforming Growth Factor Beta 1,,,,,Activation,Y
"Activation, Transforming Growth Factor beta pathway",1469,KE,Activation,Transforming Growth Factor beta pathway,,,,,Activation,Y
"Increase, Uncoupling of photophosphorylation",1471,MIE,Increase,Uncoupling of photophosphorylation,,,,,Increase,Y
"Decrease, Chloroplast ATP production",1472,KE,Decrease,Chloroplast ATP production,,,,,Decrease,Y
"Decrease, Chlorophyll synthesis",1473,KE,Decrease,Chlorophyll synthesis,,,,,Decrease,Y
"Decrease, Light harvest capacity",1474,KE,Decrease,Light harvest capacity,,,,,Decrease,Y
"Decrease, Photosynthesis",1475,KE,Decrease,Photosynthesis,,,,,Decrease,Y
"Decrease, Glycolysis",1476,KE,Decrease,Glycolysis,,,,,Decrease,Y
"Decrease, Oxidative phosphorylation",1477,KE,Decrease,Oxidative phosphorylation,,,,,Decrease,Y
"Increase, Growth inhibition",1480,AO,Increase,Growth inhibition,,,,,Increase,Y
Inhibition of mitochondrial DNA polymerase gamma (Pol gamma),1481,MIE,Inhibition,mitochondrial DNA polymerase gamma,Pol gamma,,,DNA,Inhibition,Y
"Depletion, mtDNA ",1482,KE,Depletion,mtDNA ,,,,,Depletion,Y
"Dysfunction, Mitochondria ",1483,KE,Dysfunction,Mitochondria ,,,,,Dysfunction,Y
"Binding of substrate, endocytic receptor",1486,MIE,Binding,substrate,endocytic receptor,,,,Binding,Y
"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",1487,MIE,Binding,Thiol,seleno-proteins, protection against oxidative stress,,,Binding,Y
Glutamate dyshomeostasis,1488,KE,,dyshomeostasis,Glutamate,,,,,Y
"N/A, Steatohepatisis",1489,AO,,Steatohepatisis,,,,,,Y
"Inhibition, Fatty Acid Beta Oxidation",1490,MIE,Inhibition,Fatty Acid Beta Oxidation,,,,,Inhibition,Y
"Increased, Oncotic Necrosis",1491,KE,Increase,Oncotic Necrosis,,,,,Increase,Y
Tissue resident cell activation,1492,KE,activation,Tissue resident,,,,,Activation,Y
Increased Pro-inflammatory mediators,1493,KE,Increase,Pro-inflammatory mediators,,,,,Increase,Y
Leukocyte recruitment/activation,1494,KE,recruitment,activation,Leukocyte,,,,Activation,Y
Interaction with the lung resident cell membrane components,1495,MIE,Interaction,lung resident cell membrane components,,,,,Interaction,Y
"Increased, secretion of proinflammatory and profibrotic mediators",1496,KE,Increase,secretion of proinflammatory,,,,,Increase,Y
"Increased, recruitment of inflammatory cells",1497,KE,Increase,recruitment of inflammatory cells,,,,,Increase,Y
Loss of alveolar capillary membrane integrity,1498,KE,,Loss,alveolar capillary membrane integrity,,,,,Y
"Increased, activation of T (T) helper (h) type 2 cells",1499,KE,Increase,activation,T (T) helper (h) type 2 cells,,,,Increase,Y
"Increased, fibroblast proliferation and myofibroblast differentiation",1500,KE,Increase,fibroblast proliferation,myofibroblast differentiation,,,,Increase,Y
"Increased, extracellular matrix deposition",1501,KE,Increase,extracellular matrix deposition,,,,,Increase,Y
Histone deacetylase inhibition,1502,MIE,inhibition,Histone deacetylase,,,,,Inhibition,Y
"Histone acetylation, increase",1503,KE,Increase,Histone acetylation,,,,,Increase,Y
"Cell cycle, disrupted",1505,KE,disruption,Cell cycle,,,,,Disruption,Y
Testicular atrophy,1506,AO,atrophy,Testicular,,,,,Atrophy,Y
CYP2E1 Activation,1508,MIE,Activation,CYP2E1,,,,CYP2E1,Activation,Y
Protein Adduct Formation,1509,MIE,Formation,Protein Adduct,,,,,Formation,Y
Oxidative Stress in Brain,1510,KE,,Oxidative Stress,Brain,,,,,Y
Lipid Peroxidation,1511,KE,,Peroxidation,Lipid,,,,,Y
Unfolded Protein Response,1512,KE,,Unfolding,Protein Response,,,,,Y
General Apoptosis,1513,KE,,Apoptosis,generalization,,,,,Y
Neurodegeneration,1514,AO,,Neurodegeneration,,,,,,Y
Spermatocyte depletion,1515,KE,,depletion,Spermatocyte,,,,,Y
"Increase, D1 protein blockage",1516,MIE,Increase,D1 protein,blockage,,,,Increase,Y
"Decrease, Photosystem II activity",1517,KE,Decrease,Photosystem II,activity,,,,Decrease,Y
"Decrease, Growth",1521,KE,Decrease,Growth,,,,,Decrease,Y
"Decrease, Growth",1521,AO,Decrease,Growth,,,,,Decrease,Y
"Increase, Chitin synthase inhibition",1522,MIE,Increase,Chitin synthase,inhibition,,,,Increase,Y
"Decrease, Cuticular chitin synthesis",1523,KE,Decrease,Cuticular chitin synthesis,,,,,Decrease,Y
"Increase, Premature molting",1524,KE,Increase,Premature molting,,,,,Increase,Y
"Increase, Sulfonylurea receptor binding",1525,MIE,Increase,Sulfonylurea receptor binding,,,,,Increase,Y
"Increase, Opening of voltage-dependent calcium channel",1526,KE,Increase,voltage-dependent calcium channel,Opening,,,,Increase,Y
"Increase, Cell membrane depolarization",1527,KE,Increase,Cell membrane depolarization,,,,,Increase,Y
"Fatty Acid Beta Oxidation, Decreased",1528,KE,Decrease,Fatty Acid Beta Oxidation,,,,,Decrease,Y
"Blockade, L-Type Calcium Channels ",1529,MIE,Blockade,L-Type Calcium Channels ,,,,,Blockade,Y
"Decrease, Calcium currents",1530,KE,Decrease,Calcium currents,,,,,Decrease,Y
"Decrease, Calcium binding to Troponin C",1531,KE,Decrease,Calcium binding,Troponin C,,,,Decrease,Y
"Decrease, Cardiac contractility ",1532,KE,Decrease,Cardiac contractility ,,,,,Decrease,Y
"Decrease, Cardiac ejection fraction ",1533,KE,Decrease,Cardiac ejection fraction ,,,,,Decrease,Y
Heart failure ,1535,AO,, Heart failure ,,,,,,Y
"Disruption, Intracellular calcium mobilization",1536,KE,Disruption,Intracellular calcium mobilization,,,,,Disruption,Y
"Disruption, Sarcomere assembly",1537,KE,Disruption,Sarcomere assembly,,,,,Disruption,Y
Decreased protection against oxidative stress,1538,KE,Decrease,protection against oxidative stress,,,,,Decrease,Y
Endocytotic lysosomal uptake,1539,MIE,uptake,Endocytotic lysosomal,,,,,Uptake,Y
Mitochondrial Complex III inhibition,1542,MIE,inhibition,Mitochondrial Complex III,,,,,Inhibition,Y
Mitochondrial Complex IV inhibition,1543,MIE,inhibition,Mitochondrial Complex IV,,,,,Inhibition,Y
Mitochondrial Complex V inhibition,1544,MIE,inhibition,Mitochondrial Complex V ,,,,,Inhibition,Y
Decrease in mitochondrial oxidative phosphorylation,1545,KE,Decrease,mitochondrial oxidative phosphorylation,,,,,Decrease,Y
Increased reactive oxygen species (in the mitochondria),1546,KE,Increase,reactive oxygen species,mitochondria,,,,Increase,Y
Mitochondrial Injury,1547,KE,Injury,Mitochondrial,,,,,Injury,Y
Necrotic Tissue,1548,AO,necrotizing,Tissue,,,,,Necrotizing,Y
Liver Injury,1549,AO,Injury,Liver,,,,,Injury,Y
"Increase, lung cancer",1556,AO,Increase,lung cancer,,,,,Increase,Y
"Neural crest cell migration, reduced",1557,KE,Reduction,Neural crest cell migration,,,,,Reduction,Y
"Collagen production, reduced",1558,KE,Reduction,Collagen production,,,,,Reduction,Y
Facial cartilage structures are reduced in size and morphologically distorted,1559,AO,Reduction,Facial cartilage structures,morphologically distorted,,,,Reduction,Y
Altered differentiation,1560,KE,alteration,differentiation,,,,,Alteration,Y
Neural tube defects,1561,AO,Defect,Neural tube,,,,,Defect,Y
Decreased Na/K ATPase activity,1562,KE,Decrease,Na ATPase activity,K ATPase activity,,,*,Decrease,Y
Decreased proximal tubular vectorial transport,1563,KE,Decrease,proximal tubular vectorial transport,,,,,Decrease,Y
Chemical induced Fanconi syndrome,1564,AO,Induction,Fanconi syndrome,,,,,Induction,Y
"Inhibition, IKK complex",1574,MIE,Inhibition,IKK complex,,,,,Inhibition,Y
"Activation, Caspase 8 pathway",1575,KE,Activation,Caspase 8 pathway,,,,,Activation,Y
"Activation, Tissue resident cells (Kuppfer cells)",1576,KE,Activation,Tissue resident cells,Kuppfer cells,,,,Activation,Y
"Increase, proinflammatory mediators (TNFalpha)",1579,KE,Increase,proinflammatory mediators,TNFalpha,,,,Increase,Y
Binding of microtubule stabilizing agents (MSA) to microtubules,1580,MIE,Binding,microtubule stabilizing agents,MSA,microtubules,,,Binding,Y
Disturbance in microtubule dynamic instability,1581,KE,Disturbance,microtubule dynamic instability,,,,,Disturbance,Y
Impaired axonial transport,1582,KE,Impairment,axonial transport,,,,,Impairment,Y
Sensory axonal peripheral neuropathy,1583,AO,neuropathy,Sensory axonal peripheral,,,,,Neuropathy,Y
Interaction of α-diketones with arginine residues,1584,MIE,Interaction,α-diketones,arginine residues,,,,Interaction,Y
Proteasomal dysfunction,1585,KE,dysfunction,Proteasomal,,,,,Dysfunction,Y
Airway epithelial injury,1586,KE,injury,Airway epithelial,,,,,Injury,Y
Fibroproliferative airway lesions,1587,KE,,lesion,Fibroproliferative airway,,,,,Y
Bronchiolitis obliterans,1588,AO,,Bronchiolitis,obliterans,,,,,Y
ROS generation from photoactivated chemicals,1592,MIE,generation,ROS,photoactivated chemicals,,,ROS,Generation,Y
Oxidation of membrane lipids,1594,KE,Oxidation,membrane lipids,,,,,Oxidation,Y
Oxidation/denatuation of membrane proteins,1595,KE,Oxidation,denatuation,membrane proteins,,,,Oxidation,Y
Inflamatory events in light-exposed tissues,1599,AO,inflammation,light-exposed tissues,,,,,Inflammation,Y
"Activation, Muscarinic Acetylcholine Receptors",1602,KE,Activation,Muscarinic Acetylcholine Receptors,,,,,Activation,Y
Chronic kidney disease,1603,AO,,chronic,kidney disease,,,,,Y
Inhibition of N-linked glycosylation,1604,MIE,Inhibition,N-linked glycosylation,,,,,Inhibition,Y
Accumulation of misfolded proteins,1605,KE,Accumulation,misfolded proteins,,,,,Accumulation,Y
